EAR,PUC,MAR,MOE,drowsy
0.3,86.9,0.22,0.93,0
0.35,95.7,0.2,0.82,0
0.24,93.9,0.22,0.95,0
0.34,86.1,0.33,1.42,0
0.33,87.4,0.23,0.87,0
0.33,84.6,0.27,0.95,0
0.29,75.1,0.31,0.96,0
0.35,97,0.35,1.39,0
0.24,79.1,0.31,0.94,0
0.25,76.8,0.23,1.41,0
0.27,86.4,0.26,0.61,0
0.33,87.4,0.23,0.75,0
0.27,87.6,0.31,1.44,0
0.3,86.9,0.35,1.07,0
0.32,76.1,0.27,1.16,0
0.3,80,0.19,1.02,0
0.31,81.7,0.34,1.3,0
0.33,75.1,0.25,0.9,0
0.35,76.4,0.2,0.63,0
0.3,92.4,0.27,1.07,0
0.3,81.2,0.24,0.85,0
0.34,79.6,0.35,1.03,0
0.3,92.2,0.19,1.29,0
0.36,89.2,0.25,0.75,0
0.28,82,0.34,1.32,0
0.28,90.4,0.24,1.34,0
0.25,85.1,0.22,1.12,0
0.28,96.4,0.32,1.34,0
0.31,97.5,0.32,1.07,0
0.24,92.4,0.28,1.06,0
0.26,86.5,0.27,1.49,0
0.24,78,0.35,0.78,0
0.24,88.2,0.26,1.31,0
0.25,81.5,0.2,0.83,0
0.33,83.7,0.29,1.09,0
0.28,77.8,0.18,0.81,0
0.35,78.3,0.29,0.62,0
0.33,83.4,0.22,1.27,0
0.28,85.8,0.21,0.96,0
0.32,91.5,0.22,1.34,0
0.27,95.1,0.26,0.87,0
0.27,94.9,0.32,1.04,0
0.3,88.1,0.29,1.02,0
0.29,96.8,0.28,1.09,0
0.26,97.2,0.35,0.92,0
0.27,87.2,0.19,0.7,0
0.31,84.8,0.21,1.43,0
0.25,93.8,0.18,1.47,0
0.34,77.9,0.21,1.4,0
0.25,94.5,0.28,1.08,0
0.24,77,0.33,0.61,0
0.3,89.5,0.27,1.4,0
0.34,91.3,0.25,0.87,0
0.36,75,0.19,1.24,0
0.36,83,0.26,0.96,0
0.25,94,0.19,1.03,0
0.26,82.8,0.24,0.69,0
0.34,95.6,0.2,1.14,0
0.32,85.6,0.26,0.99,0
0.3,79,0.26,1.21,0
0.26,87.2,0.22,1.36,0
0.32,84.7,0.29,1.31,0
0.26,86.8,0.32,1.16,0
0.28,86.2,0.26,1.06,0
0.28,87.8,0.31,1.27,0
0.28,81,0.23,0.64,0
0.29,82.2,0.2,1.38,0
0.35,84.8,0.35,0.92,0
0.3,81.7,0.34,1,0
0.24,80.4,0.27,1.29,0
0.25,80.9,0.19,0.97,0
0.26,92.8,0.35,1.2,0
0.33,82.9,0.33,1.18,0
0.32,92.6,0.24,0.84,0
0.26,77.8,0.19,1.16,0
0.35,90.8,0.18,1.48,0
0.26,96.3,0.34,1.11,0
0.26,94.5,0.22,1.18,0
0.34,88.4,0.32,1.21,0
0.27,91.1,0.27,0.71,0
0.33,87,0.25,0.75,0
0.35,91.9,0.26,1.36,0
0.33,77.8,0.35,1.44,0
0.33,94,0.19,0.84,0
0.32,84.6,0.24,1.27,0
0.33,86.8,0.27,0.9,0
0.3,89.5,0.23,0.76,0
0.29,80.7,0.28,1.27,0
0.27,81.3,0.21,1.25,0
0.33,86.1,0.26,0.9,0
0.34,83.1,0.23,1.03,0
0.26,76.4,0.2,0.98,0
0.34,88,0.28,1.43,0
0.36,84.2,0.18,1.45,0
0.26,85.9,0.22,0.87,0
0.34,75.7,0.2,1.31,0
0.24,80.1,0.19,0.93,0
0.32,92,0.2,1.34,0
0.32,88.1,0.22,0.9,0
0.33,92.4,0.29,1.1,0
0.36,88.6,0.29,0.87,0
0.34,93.9,0.33,1.13,0
0.28,84.6,0.33,0.77,0
0.24,75.6,0.21,1.41,0
0.27,87.3,0.33,0.81,0
0.34,79.9,0.18,1.16,0
0.32,85.1,0.19,0.87,0
0.24,77.4,0.21,1.05,0
0.3,83.7,0.22,1.45,0
0.36,78,0.3,1.29,0
0.34,83.2,0.29,1.16,0
0.28,88.1,0.32,0.82,0
0.33,86.2,0.29,1.09,0
0.35,75.8,0.31,1.14,0
0.25,88.4,0.18,0.79,0
0.26,92.4,0.19,0.83,0
0.36,79.1,0.25,1.01,0
0.25,94.9,0.29,1.11,0
0.32,94.9,0.23,1.5,0
0.27,81.6,0.25,0.9,0
0.25,91.7,0.27,1.4,0
0.33,90.8,0.27,0.83,0
0.31,80.5,0.27,1.46,0
0.25,90.4,0.3,1.45,0
0.31,95.5,0.31,1.12,0
0.25,96,0.21,1.17,0
0.28,91.3,0.19,1.1,0
0.32,80,0.25,0.84,0
0.29,76.8,0.22,1.45,0
0.24,97.3,0.3,1.28,0
0.25,88.6,0.22,1.16,0
0.3,81.5,0.24,1.42,0
0.32,79.5,0.29,1.05,0
0.27,94.7,0.31,0.64,0
0.34,97.8,0.29,1.24,0
0.35,86.8,0.27,1.21,0
0.33,95.5,0.2,0.98,0
0.29,79.2,0.19,1.08,0
0.26,97.1,0.27,0.75,0
0.25,88.2,0.27,0.89,0
0.36,80,0.27,1.47,0
0.26,85.6,0.31,1.07,0
0.35,77.5,0.23,0.84,0
0.33,98,0.2,0.98,0
0.32,75.2,0.28,1.44,0
0.3,75.9,0.32,0.85,0
0.32,77.8,0.31,1.38,0
0.33,83,0.3,1.4,0
0.29,89.6,0.34,1,0
0.33,93.4,0.33,1.09,0
0.29,76.9,0.28,1.15,0
0.34,83.8,0.31,0.64,0
0.26,79.3,0.27,0.66,0
0.26,92.4,0.22,0.87,0
0.31,89.9,0.3,1.19,0
0.31,90.1,0.18,0.86,0
0.26,89.5,0.26,0.84,0
0.34,97.2,0.2,1.44,0
0.3,82,0.34,0.65,0
0.28,76.9,0.35,0.63,0
0.24,81.8,0.2,1.26,0
0.32,86.4,0.28,1.13,0
0.36,84.5,0.34,1.36,0
0.3,93,0.23,1.23,0
0.27,81.4,0.25,1.15,0
0.29,96.7,0.24,0.85,0
0.25,81.4,0.19,1.35,0
0.34,80.4,0.3,1.38,0
0.26,82.4,0.21,0.78,0
0.3,79.4,0.26,1.49,0
0.3,91.8,0.32,1.16,0
0.29,79.5,0.32,0.9,0
0.3,93.7,0.25,0.85,0
0.31,93.7,0.27,0.64,0
0.34,76.1,0.34,1.24,0
0.28,87.3,0.29,0.61,0
0.26,89.5,0.28,1.18,0
0.24,88.7,0.29,0.75,0
0.29,90.9,0.35,1.12,0
0.27,90.5,0.24,1.09,0
0.34,92.8,0.33,1.42,0
0.26,84.6,0.3,1.11,0
0.33,95.1,0.24,1.22,0
0.26,77.9,0.19,1.44,0
0.34,86.7,0.31,1,0
0.25,75,0.31,1.28,0
0.3,81.1,0.2,0.94,0
0.25,94.8,0.18,1.31,0
0.27,93.2,0.34,1.46,0
0.3,88.6,0.25,1.43,0
0.26,91.6,0.35,1.23,0
0.26,92.8,0.25,1.02,0
0.33,90.4,0.25,1.16,0
0.3,96.5,0.22,1.4,0
0.29,94.1,0.35,0.96,0
0.29,80.2,0.34,0.87,0
0.34,95.7,0.3,1.42,0
0.3,78.3,0.24,0.96,0
0.31,97.2,0.26,0.91,0
0.27,87.9,0.28,1.3,0
0.32,82.6,0.22,1.41,0
0.33,92.9,0.33,0.72,0
0.35,82.2,0.3,0.93,0
0.3,81.1,0.35,1.21,0
0.26,84.1,0.19,0.7,0
0.3,91.9,0.22,0.65,0
0.29,89.5,0.34,1,0
0.32,76,0.23,0.69,0
0.35,83,0.3,1.05,0
0.35,78,0.33,1.45,0
0.26,81.7,0.2,1.49,0
0.36,97.5,0.29,0.76,0
0.31,88.3,0.33,1.05,0
0.32,79,0.23,1.5,0
0.33,88.7,0.33,0.83,0
0.25,95.8,0.22,0.98,0
0.34,86.6,0.19,1.32,0
0.31,93.7,0.26,1.31,0
0.34,97.4,0.3,0.91,0
0.36,91.7,0.35,1.21,0
0.29,84.9,0.28,1.29,0
0.25,93.3,0.26,1.48,0
0.26,83.7,0.28,0.67,0
0.27,78,0.33,1.39,0
0.28,79.5,0.2,1.35,0
0.31,93,0.33,0.7,0
0.28,80.8,0.28,1.03,0
0.32,82.7,0.26,1.08,0
0.36,80.7,0.3,1.03,0
0.31,81.8,0.32,0.72,0
0.33,85.4,0.18,1.36,0
0.26,96.9,0.23,0.66,0
0.33,85.3,0.27,0.96,0
0.27,84.3,0.34,0.91,0
0.35,86.7,0.34,1.42,0
0.35,82.5,0.22,1.43,0
0.29,77.5,0.24,1.39,0
0.31,83.1,0.3,1.18,0
0.32,85.2,0.31,1.15,0
0.32,78,0.28,0.6,0
0.36,90.7,0.35,0.68,0
0.29,93.3,0.23,0.74,0
0.25,77,0.21,1.17,0
0.33,91.3,0.32,1.07,0
0.26,89.9,0.32,1.39,0
0.36,83.4,0.26,1.25,0
0.34,77,0.24,1.44,0
0.33,81.5,0.24,0.64,0
0.33,97.3,0.25,1.35,0
0.28,79,0.33,0.88,0
0.27,86.6,0.27,1.15,0
0.3,86.8,0.26,1.35,0
0.26,76.3,0.18,1.2,0
0.29,97.6,0.28,1.15,0
0.36,84,0.28,1.22,0
0.26,90.3,0.31,1.24,0
0.26,84.4,0.26,1.04,0
0.26,79.5,0.19,0.91,0
0.34,80.2,0.24,0.9,0
0.3,80.2,0.2,0.71,0
0.3,96.5,0.29,1.11,0
0.28,94.9,0.2,1.12,0
0.3,96.8,0.25,0.84,0
0.24,92.9,0.24,0.62,0
0.25,89.7,0.19,0.75,0
0.34,95.9,0.31,0.73,0
0.26,83.7,0.23,1.2,0
0.32,79.6,0.21,1.46,0
0.25,82,0.18,0.77,0
0.25,89,0.33,1.05,0
0.26,77.4,0.34,0.69,0
0.31,91.7,0.25,1.19,0
0.33,90.5,0.24,1.2,0
0.27,87.1,0.32,1.07,0
0.29,78.2,0.32,1.19,0
0.29,90.5,0.26,1.11,0
0.34,81.1,0.3,1.48,0
0.28,96.8,0.35,1.31,0
0.33,76,0.3,1.01,0
0.34,75.8,0.27,0.63,0
0.3,95.8,0.25,0.88,0
0.34,96.3,0.3,1,0
0.29,91.1,0.35,1.27,0
0.28,78.5,0.25,1.4,0
0.33,80.6,0.19,0.66,0
0.34,93.5,0.26,0.94,0
0.28,96.3,0.24,1.4,0
0.28,95.7,0.33,0.87,0
0.28,75.1,0.25,0.64,0
0.28,83.1,0.25,1.37,0
0.33,83.2,0.19,0.88,0
0.32,91.9,0.26,0.76,0
0.33,95.9,0.32,0.9,0
0.25,95.8,0.21,1.04,0
0.31,94,0.3,1.47,0
0.24,87.3,0.34,1.02,0
0.35,84.8,0.25,1.22,0
0.32,94.4,0.28,1.26,0
0.32,79,0.22,1.11,0
0.31,85.6,0.22,1.24,0
0.35,86.4,0.31,0.97,0
0.32,79.2,0.34,1.3,0
0.33,89,0.3,0.85,0
0.31,96.8,0.31,0.81,0
0.34,88,0.26,1.31,0
0.3,80.8,0.34,1.21,0
0.24,95.6,0.19,1,0
0.32,80.5,0.29,1.34,0
0.33,86.1,0.25,0.63,0
0.32,90.6,0.24,0.63,0
0.27,97.1,0.32,1,0
0.3,94.5,0.19,1.39,0
0.26,80.6,0.25,1.28,0
0.29,82.1,0.35,0.63,0
0.35,94.2,0.2,1.07,0
0.3,93.3,0.33,1.31,0
0.25,88.9,0.18,0.97,0
0.26,95.8,0.25,1.17,0
0.35,88.7,0.21,1.22,0
0.24,81.4,0.19,1.41,0
0.31,80,0.34,1.48,0
0.26,91.3,0.21,1.2,0
0.28,77.2,0.21,1.17,0
0.35,96.1,0.3,1.06,0
0.31,84.4,0.33,0.82,0
